Robot_0_x,Robot_1_x,Robot_2_x,Robot_3_x,Robot_4_x,Robot_5_x,Robot_6_x,Robot_7_x,Robot_8_x,Robot_9_x,Robot_10_x,Robot_11_x,Robot_0_y,Robot_1_y,Robot_2_y,Robot_3_y,Robot_4_y,Robot_5_y,Robot_6_y,Robot_7_y,Robot_8_y,Robot_9_y,Robot_10_y,Robot_11_y
2.4761518104792377,-0.2821099375277392,-2.933116256836341,-0.028845078318374767,3.4052166334461322,-1.3940552628404221,-3.240063105144131,1.4958958888913159,2.1600761387533036,0.40864824070989597,-3.126184585769868,-1.4312124446745453,0.5408154571837338,-3.3444590745379137,0.06455060877791897,3.306896188185239,1.4284927776308747,-3.2228023400105235,-1.1223253540520792,3.2934561089246115,-1.171825196716541,-1.6927482379037295,1.1734797342340548,3.385784520374642
2.527912770846781,-0.2670510552480561,-2.9639847313185723,-0.02418596056111702,3.4094741730116067,-1.4012075023743509,-3.255754761633491,1.495191461233883,2.21102388065249,0.4111316967142107,-3.145802722541312,-1.4343351731215388,0.5267390876715491,-3.3535150289340665,0.060611761199321844,3.3170962579431698,1.4339135714915607,-3.2375444629298675,-1.1422524781994876,3.3046984029424893,-1.18432603717747,-1.6951282879869372,1.1913158961336765,3.391977349347803
2.5798525986654326,-0.2527876302442755,-2.9932631968454793,-0.019817140585065868,3.413393985234816,-1.408738294693904,-3.2685277613781545,1.4951753862480852,2.261366919695425,0.41352815395549064,-3.164766712013402,-1.43754508889721,0.5153803016264282,-3.3640693341913055,0.05616426737601721,3.3265078771066183,1.4393603194757736,-3.2517121167702907,-1.1612215223513676,3.3151760208380203,-1.1959257703300326,-1.6974431267620347,1.2069961652737005,3.3975675457143293
2.6323707219633037,-0.23831548083216025,-3.022958760491403,-0.014657048966543976,3.417351106613688,-1.4166885620151033,-3.2808236446237418,1.4957764592332712,2.3164813826083783,0.4160255344708045,-3.1876100238272995,-1.4411493067458614,0.49596631079702763,-3.375301367222033,0.05355415553141122,3.3360471922287966,1.445063142178834,-3.2660974456012233,-1.182126952412452,3.32557851914502,-1.2083367172143509,-1.6998684541354059,1.2214418997881578,3.403043962100521
2.6820999393905787,-0.2245458074489025,-3.051214734170051,-0.008853672643955493,3.421146202397616,-1.4226508169457202,-3.2921076145289154,1.496473469938075,2.3711341081427455,0.41845276916122065,-3.208127511854845,-1.4449571308906712,0.4675490181416938,-3.3849808465531654,0.05036259036882779,3.3452154131590066,1.450418906535056,-3.280382481290686,-1.2035709010613465,3.3352998142044683,-1.222002972838158,-1.702240600055665,1.2359961627621674,3.407971972789554
2.7286675185665885,-0.21179787212444579,-3.0778101778026365,-0.0029737437330890626,3.4249702363661507,-1.4263562042725249,-3.303458483749884,1.4968701097044599,2.4257514309504,0.42080712451102503,-3.2237992577884764,-1.4491218222445403,0.4386342406012147,-3.3926718086041103,0.04689935147288915,3.3537537447348904,1.4552940508404184,-3.294311388249691,-1.222227418005312,3.34445903074158,-1.2334579628658282,-1.7045660023410956,1.2528177961197287,3.4125607024848423
2.7728464555890846,-0.1983466813432742,-3.1022453489916226,0.0028726138353002764,3.4288580273373634,-1.429224846170428,-3.318059010553391,1.4969826834156827,2.4807060618033736,0.4231070169318966,-3.2385484428316813,-1.4534361082108411,0.4127698558034505,-3.3979744485330814,0.04337194004934063,3.361709265886939,1.459653151461697,-3.3073249952892287,-1.237295637913573,3.353082422161294,-1.246503581123339,-1.7068572244166982,1.270226572801951,3.4168301073096057
2.813881964161653,-0.18562427423932581,-3.124586772634487,0.00788285786061492,3.4326990071248153,-1.4324038540892796,-3.3311017808838623,1.4973640024991817,2.5312207894815275,0.4252304796313939,-3.252131661261159,-1.4574356176020886,0.3924197373822919,-3.4023951574137756,0.03986692386528272,3.368772752138304,1.463260784401586,-3.3183748298130933,-1.250695243126132,3.3607485378925825,-1.2588817804099635,-1.7088678471841727,1.2839918040784721,3.4205670616524477
2.852785155911617,-0.1735711956770049,-3.1451322856870236,0.01217596908581347,3.4366168500460597,-1.4360778811345498,-3.341645182702887,1.4981736527334615,2.5820066311056014,0.4272546276467335,-3.26483305359353,-1.4612884735721416,0.37293862323633054,-3.4067165966394417,0.03613322392016069,3.375742737895941,1.4664095021148256,-3.328221951235247,-1.2639454918923902,3.3680792682188896,-1.2698055673697426,-1.710867707582934,1.2951344881927596,3.4241681379285964
2.8916337165140322,-0.16182908023835735,-3.1655623182534027,0.01593481278106062,3.4408575359066176,-1.4402134471377346,-3.350556679214481,1.4992777992788522,2.6352098256261662,0.4294012665357372,-3.2787370511294807,-1.4651964447382475,0.35487192555731273,-3.4109351791659894,0.03393905560160944,3.3832991068367777,1.4694031764225965,-3.3377850469379515,-1.2772936060232132,3.375741881709464,-1.2824252878699192,-1.7130010475467121,1.3058978894918043,3.428020308974499
2.9264617344513577,-0.15200744303478214,-3.183890965708202,0.018706944085823,3.4446797962922715,-1.4437149197009502,-3.3581782793895605,1.500330540487168,2.6810306142290847,0.4313584915396658,-3.2926414937610797,-1.4684931015090565,0.3400383754694096,-3.4148407303472093,0.032088239548057645,3.3902957605661337,1.4718733130941852,-3.346024119831337,-1.2890230363907638,3.3826392499271294,-1.2946366563449403,-1.7149626906893551,1.3149878203425904,3.4315961790983387
2.962296322613046,-0.14289964218118845,-3.2025178714511857,0.021031051657244424,3.4487716122269916,-1.447345991375234,-3.3655637298527137,1.5012797674453722,2.7282336051861718,0.43343988425578284,-3.307320142207905,-1.471599932560617,0.3242484095212544,-3.419745141113961,0.030035092925329073,3.3976108840141612,1.474078855556149,-3.354352731658856,-1.302267047192396,3.389804874643862,-1.304837510116696,-1.7170669054681087,1.3240049386242614,3.4355553643308534
2.9942243178639734,-0.13500458223681672,-3.219899447730229,0.022941991385171317,3.452686191708981,-1.4515164892184622,-3.3717800683284436,1.5019442529554625,2.7729231105258947,0.435503264051797,-3.320551926917316,-1.4743776974977325,0.30632545547132295,-3.4259021454617264,0.028127793638159898,3.404596799815327,1.476029857492898,-3.3621909450139023,-1.3157947654063045,3.39673208305337,-1.3159475037444344,-1.7191548997926733,1.3328176121591966,3.4394396262421
