Robot_0_x,Robot_1_x,Robot_2_x,Robot_3_x,Robot_4_x,Robot_5_x,Robot_6_x,Robot_7_x,Robot_0_y,Robot_1_y,Robot_2_y,Robot_3_y,Robot_4_y,Robot_5_y,Robot_6_y,Robot_7_y
0.34404558219396886,-0.5802277822960544,-1.0879851245220045,-1.2021690295299403,-0.30040534600749913,-1.1399753465321607,0.03431523724446553,-1.188360492517994,-1.2223798410092312,1.0853666557440462,-0.5311829507709421,0.08935926675207101,1.2008397440957648,0.39918884585906467,-1.262954901647179,-0.22474998927343992
0.32863898509088707,-0.6023933709254368,-1.0873987921615937,-1.2022207312482702,-0.3254965919695527,-1.1404654557123033,0.018143692972356545,-1.188134918740193,-1.2256519575620957,1.0717894330475073,-0.5324287239520947,0.08776838537113718,1.1933993276006982,0.39751172861447076,-1.262513403093008,-0.225963166296913
0.3130626055886022,-0.6244770455069122,-1.08679282665801,-1.2022714424355974,-0.3505613969808178,-1.1409595635478087,0.0016640425840241113,-1.1878969236859986,-1.2289704991377446,1.0576010288713027,-0.5337063077777933,0.08615832371982976,1.1853319131439521,0.3958153565115847,-1.2616853033075741,-0.22718641208605933
0.29698581961682097,-0.645932926080671,-1.0861719258075548,-1.2023272582500302,-0.3727549510781032,-1.1414035038242638,-0.012714157169932433,-1.187669326287409,-1.232014706516031,1.0421621636570513,-0.53499374553058,0.08453106266731918,1.1781000032591262,0.3943157436048752,-1.2615527391918266,-0.2282815436233845
0.28285616184594525,-0.6648549777397339,-1.0856144493470414,-1.2023800508170663,-0.4020471163550945,-1.1419996257005673,-0.03157371686477736,-1.1873550732540623,-1.2347192000836025,1.0282567377820038,-0.5361492975000928,0.08288481362942121,1.1705916952978552,0.392372841160801,-1.2596600074398054,-0.22970352834334323
0.26423685951910747,-0.689582050430487,-1.0848734705436496,-1.2024389043035442,-0.4285211315420154,-1.142524615201962,-0.04867038967230385,-1.1870538508262987,-1.238195166906915,1.010938900627023,-0.537639686957395,0.08122646861093992,1.1635712536241096,0.3906198559425349,-1.2578798578591481,-0.23099402901305793
0.24731246994027217,-0.7129340595665239,-1.0841021990193607,-1.2025001208209447,-0.4552013134868734,-1.1430539924008583,-0.06612861608489773,-1.1867280812697365,-1.2405742654619083,0.9955332150537461,-0.5389610736940392,0.07953478415615088,1.1561501907781517,0.3888395155992618,-1.2570288285451603,-0.23230798268719693
0.23006455708444076,-0.7346315068949808,-1.0833126789595413,-1.2025657032400936,-0.47907636648560104,-1.1435148782545026,-0.08170753419902543,-1.1864213966480657,-1.2435082732296716,0.9788985472193734,-0.540303728088913,0.0778254720680776,1.1488001063466415,0.38725278282580766,-1.2553314555114252,-0.233484424563222
0.21464304837127246,-0.7532628736538696,-1.0825906039761606,-1.2026241303243235,-0.5064228572008107,-1.144092146207366,-0.09942924601589323,-1.1860495268291578,-1.2465170500570066,0.9633240347141941,-0.5415044516043246,0.07630030551537431,1.1399943667093555,0.3854146714192438,-1.2523403223029692,-0.23486855650453076
0.19664101096153747,-0.7730516091928278,-1.081737590906937,-1.202694770579228,-0.5343418240292177,-1.144663013732907,-0.11769221950842465,-1.1856449924405064,-1.2496601412258148,0.942180978960288,-0.5429107607114197,0.074519015717262,1.1317219591720098,0.3835319105586779,-1.249831441347322,-0.23628686182760023
0.17857629285143173,-0.7925973246445193,-1.0808554785155222,-1.2027721943040623,-0.5629584980425796,-1.1451953740294905,-0.1361675318989464,-1.185216394590445,-1.2515067735423924,0.9210361537607736,-0.5443281374167044,0.07271831960087857,1.1237004581296324,0.381627521148205,-1.2468830136074212,-0.2377104876711848
0.15987025681576095,-0.8136587486745496,-1.0799769247870674,-1.2028415720821344,-0.5923841048681664,-1.1457359620373915,-0.1545349824468857,-1.1847315639745095,-1.2527159621186565,0.901760726173509,-0.5457413111770028,0.07090558213312927,1.1160160519654725,0.37971938922657467,-1.2439546909249632,-0.23915569963748412
0.14085301315795395,-0.835746511197333,-1.07906287662486,-1.2029190563464858,-0.6227057573167454,-1.1463367282642296,-0.17365668375056584,-1.1842216435146227,-1.2538996945110414,0.8828636348641734,-0.5471738853430544,0.06906896712203003,1.107414387233664,0.37780384159064906,-1.240200853915757,-0.24064199612663167
0.12151716631678988,-0.8555143333082889,-1.0780661316659494,-1.2029939487237262,-0.6532426547395191,-1.1469582544931851,-0.19284429151240928,-1.1836788568730627,-1.2551083305043929,0.8628889184693559,-0.5486039750996927,0.06718882098669963,1.0983026328727366,0.3758562276711618,-1.235553713490335,-0.24216753487192821
0.10176301396662332,-0.8739887014667413,-1.077017019738005,-1.2030796763694185,-0.6801179536926,-1.1476079285979983,-0.20974853311784686,-1.1831779058857994,-1.2558741775437794,0.8407181113105207,-0.5500484248326831,0.06526384958306009,1.0904737237506024,0.374205282236009,-1.2322878557767547,-0.24354420832308143
0.08455701467687128,-0.8887111146600434,-1.0760697964034842,-1.2031512444934374,-0.7108342024897877,-1.1484521515262622,-0.22981187939109643,-1.1825842375409916,-1.2561005485550474,0.8190880523865645,-0.5513413036480217,0.06353786897345938,1.0815470458702456,0.3723276892893322,-1.2276226089607427,-0.2451673086346482
0.06434825881010989,-0.9059092562671247,-1.0749683999983741,-1.2032315009997072,-0.7377652355992548,-1.1491990938124317,-0.2471044617965773,-1.1820692581718362,-1.2571351517487637,0.7972678613924529,-0.5528385811155673,0.06153361143722158,1.0741815103735295,0.3706731301479771,-1.2227923555422424,-0.24659519581088707
0.046174187185763604,-0.9227429592824256,-1.073986563322024,-1.2033071781653537,-0.7685974248187747,-1.1500211360313026,-0.26734831124726477,-1.1814866090779932,-1.257845736230386,0.7788833851767559,-0.5541355050229766,0.059761514641392496,1.0644884518117008,0.3687418592496181,-1.2173995038590164,-0.24825610293156364
0.025695244844583534,-0.9413688632273256,-1.072834789465418,-1.2033907228972032,-0.7990401379249719,-1.1508721271071427,-0.2876668395467088,-1.180901757420848,-1.2579231459626727,0.7578978611198705,-0.5556356410755923,0.05769943486778817,1.0541201755977294,0.36679039943189085,-1.2116658537069487,-0.2499684225028307
0.004346966927190887,-0.9574427634694149,-1.0715968733572916,-1.2034825116938348,-0.8293396924474099,-1.1518950944378297,-0.3080679321048153,-1.1802664255564967,-1.256717319524587,0.7366393764812241,-0.557260792443442,0.055423368475132656,1.0442446628973605,0.3646001939767204,-1.2052405493354592,-0.2521001702638509
