Robot_0_x,Robot_1_x,Robot_2_x,Robot_3_x,Robot_0_y,Robot_1_y,Robot_2_y,Robot_3_y
-3.3984508415831605,-0.002013563983201442,3.3996642768466243,-0.0028889964437649974,-0.009464188059556533,3.3990507400830827,-0.014334497193058432,-3.398494375328938
-3.3983887275005733,-0.0020171748369121577,3.3996115335436503,-0.0028878736586745732,-0.009443233614775896,3.3990131451472476,-0.014341870465563726,-3.3984355021659547
-3.398326632016849,-0.0020207771313988797,3.3995608089120113,-0.0028867614940829523,-0.009422325939782542,3.3989734723951384,-0.014348309333756451,-3.3983766301728147
-3.398264555030459,-0.0020261401687440557,3.3995117657746245,-0.002885659924359354,-0.009401464912289203,3.398933651734301,-0.014353402533377907,-3.398317759341256
-3.396962942159867,-0.00014781660930567655,3.3913374345864438,-0.0028188345476351986,-0.008794573709496241,3.3947462094462106,-0.0136812049377601,-3.3863488666642567
-3.3819000943740565,0.0008732065542582245,3.374843228481912,-0.0021551136436847,-0.005536369029550453,3.37901477195763,-0.008130656048439804,-3.3706444220651854
-3.366081089949803,0.0010091442035127373,3.3586891851704186,-0.0015059009459154427,-0.002010307263635772,3.3633238906633753,-0.0042289265339423955,-3.3545715464271635
-3.3458496847973747,0.0006826405240092555,3.3385504249705593,-0.0012292021095236618,0.000806933375475562,3.343069050056501,-0.0023452728829818368,-3.334330513277547
-3.325720466950461,0.0004372241081945123,3.3184886166425387,-0.0011916460312000772,0.0017692363607472441,3.322950711929629,-0.002062551402729379,-3.3142563097688944
-3.30553910718931,0.00036509925295186526,3.2983899061595734,-0.0011374186492482889,0.001374208464751195,3.3027788642160214,-0.0024661276095065323,-3.293961754071666
-3.2853689364712224,0.0002055496159509713,3.278498321082762,-0.001005481386729861,6.074961437825766e-05,3.282604328226178,-0.0032124098580939425,-3.274170723567758
-3.2696327754913197,0.00022728658473773094,3.2627729259294886,-0.0010847651490118913,-0.0008728053649278883,3.266938132902067,-0.003160442836989516,-3.2583347317990015
